Original Order,Year,Event Type,Game System,Game ID,Title,Long Description,GM Names,Total Rounds,Experience Required,Cost $,Location,Also Runs,Start Date & Time,Short Description,Minimum Players,Prize,Rulex Complexity,Rules Edition,Age Required,End Date & Time,Group,Maximum Players,Materials Provided,Duration,Website,Email,Tournament?,Round Number,Minimum Play Time,Attendee Registration?,Room Name,Table Number,Special Category,Tickets Available,Last Modified
807,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400249,Prometheus Gardens,"The most incredible,valuable treasure in the world has been located in the middle of a maze in the middle of nowhere. The only problem lies in the secret of the statues, the man-eating monsters.",Joseph Gressis,1,I,2,"E212, E. Game Hall",11,,,,,,,,,,,,,,,,,,,,,,,
808,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400047,Spell Game,"Ten little necromancers, playing the Wizard’s game 1 will survive gaining wizard fame. 4th year at GenCon. 10th level mages combat in a test of spell use.",Donald Herz,1,S,2,"E115, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
809,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400116,Three Moons Over Zibus,"The three moons over Zibus will align in Four days an event happening every 5000 yrs. Darkness tells of a cults plans to awaken their sleeping God that night. Brawn & brains required, age 16-up",Jeff Thompson,1,S,2,"E206, E. Game Hall",10,,,,,,,,,,,,,,,,,,,,,,,
810,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400219,We Won’t Back Down,"Cowards!!! The town council has found you unworthy of your citizenship. Therefore, to prove yourselves, you must regain a vital artifact that will help all mankind and animalkind for you rangers.",Jeff Rothecker,1,I,2,"E614, E. Game Hall",11,,,,,,,,,,,,,,,,,,,,,,,
811,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400001,Where Are We Now II ?,"For the love of Pedro. Did you love him? Well that doesn’t matter because he’s back. Help him find his cousin. There are a lot of new surprises, and our favorite arch-nemesis is back also.",Ken Leyhe,1,S,2,"E307, E. Game Hall",10,,,,,,,,,,,,,,,,,,,,,,,
812,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400059,Laughter of Madness I,Bring your own character to an amateur detective convention in Innsmooth. Be prepared for some Deep Sea Fishing. Can you fish with a shotgun?,Adam Schellenberg,1,S,2,"E603, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
813,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400335,The Remarkable Worm,A British minister goes mad and the only clue is a matchbox containing a worm unknown to science. This is an 1890’s adventure hosted by the author of Cthulhu by Gaslight & sponsored by Chaosium.,"Chaosium, Inc.",1,I,FREE,"E112, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
814,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400056,Something Odd in the Matrix,"Arkham, 2090. It was supposed to be an easy gig. A few Mercs, A few desk jockeys and a couple of skin jobs were all you needed, they said. How could it go so wrong? A.i.’s Corp Agents.",Jeffrey Carey,1,S,2,"E305, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
815,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400422,Warning! Death Lurks Near,"Two sets of horror RPG rules are explained and played. First Call of Cthulhu rules—H.P. Lovecraft Second, It came from the late, late, late show. One very serious, one very comical.",Warren Dimock,1,N,2,"K37, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
816,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400245,"Enforcers II, Old Flames",The Enforcers receive a mysterious warning of an impending doom from their past that threatens one of the team. But which one and what is the threat? Characters provided.,Terry O’Brien,2,I,2,"E602, E. Game Hall",08 Final: 10,,,,,,,,,,,,,,,,,,,,,,,
817,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400273,Map Of The World,"Adventure in the world of international politics! A UN team of wild talents must deal with it’s first major challenge—a Nation facing Civil War. Role-playing vital. ICE sponsored, 4th edition.",Ronald Green,2,I,2,"E709, E. Game Hall","10, 11 Final: 14",,,,,,,,,,,,,,,,,,,,,,,
818,1990,ROLE-PLAYING GAME,CHILL Game by Mayfair Games,400244,Cursed Before Birth,"Members of Dudley Town’s founding families first lost their heads, then their luck. The lucky ones who followed, merely lost their minds...",Karen Betts,1,I,2,"E509, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
819,1990,ROLE-PLAYING GAME,CYBERPUNK by R. Talsorian Games,400274,Video Killed The Radio Star,"An EBM exec, needs a cowboy to test a new security program. A DC. cop investigates a string of dice murders. A ronin & her partner wind down, Rocker looks for love. Trust none, but must try to live.",Ann Sullivan,2,I,2,"E705, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
820,1990,ROLE-PLAYING GAME,"DAWN PATROL Game by TSR, Inc. ",400179,Dealer's Choice,Ever have that plane you would die to fly? You shall have that chance!,Jim Mclntyre,1,I,2,"ED2, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
821,1990,ROLE-PLAYING GAME,DEMONSTRATION,400341,"Gurps, Cyberpunk Demo & Q. & A. ","Let us introduce you to the high-tech, low-life world of Gurps Cyberpunk. We’ll tell you all about netrunning, hacking, the secret service.",Steve Jackson Games,Demo,N,FREE,"ED6, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
822,1990,ROLE-PLAYING GAME,"DRAGONQUEST Game by TSR, Inc.",400071,The Salted Earth,The Third Realms War is drawing to an end. The character’s Realm Lord has been vanquished. Can they reach sanctuary before they are found?,Verne Wetherholt lll,2,S,2,"E606, E. Game Hall Final: 08",,,,,,,,,,,,,,,,,,,,,,,,
823,1990,ROLE-PLAYING GAME,ELEMENT MASTERS by Escape Ventures,400196,"Great Mip Migration, A Classic!","When the Mips are migrating, predators gather for easy feasting. The imperiled edibles need aid in order to quench their burning breeding frenzy but watch that bald Mip! The EVPA welcomes all",Llyod Montgomery,1,N,2,"E303, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
824,1990,ROLE-PLAYING GAME,ELEMENT MASTERS by Escape Ventures,400199,Taking Fortress By Strategy,Our Heroes finally face their deady nemesis in a NEW Element Masters showdown. The fate of the free Vinya hangs in the balance. Can Avatar & his band of Dark Warriors be defeated?,EVPA Craig Enslin,1,N,2,"K61, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
825,1990,ROLE-PLAYING GAME,EMPIRE OF THE PETAL THRONE by G.S. ,400404,Nayari's Box 2: The Tubeway,Queen Nayari’s lost capital city of Purdanim now lies beneath centuries of silt from the Mssumsa River. The only way to reach it is for you to travel on the ancient underground tubeway system.,Donald Kaiser,1,I,2,"K42, Kilbourn Location: K46, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
826,1990,ROLE-PLAYING GAME,FANTASY HERO by Iron Crown,400434,Fantasy Hero 1,The official I.C.E. fantasy hero tournement. A group of carnival performers must deal with their occupational hazards in a world where you can only trust your wits & your friends.,David Simkins,2,S,2,"K57, Kilbourn Location: K41, Kilbourn Final: 12",,,,,,,,,,,,,,,,,,,,,,,,
827,1990,ROLE-PLAYING GAME,"HARNMASTER by Columbia Games, Inc.",400088,Murath's Pit,"Evil Demigod, Magic, Cavern, Dirty, Water, Mud, Alchemy, Bones, Wisdom, Chimney, Danger, Ramps, Guards, Snake, Swimming, Dropoff, Drowning, Death, and Treasure lots of Treasure!",Kevin Bratager,1,N,2,"E405, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
828,1990,ROLE-PLAYING GAME,HAWKMOON by Chaosium,400329,Gimme A Minute!,The adventurers have only days to foil a diabolic plan to eliminate Londra from the heart of Granbretan. An event sponsored by Chaosium. Bring your Hawkmoon or Lawful Stormbringer characters.,"Chaosium, Inc.",1,I,FREE,"ED8, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
829,1990,ROLE-PLAYING GAME,HERO GAME by Iron Crown Enterprises,400042,I.C.E. Champions VII,"Will the Rangers survive the loss of one of their own? Find out as Blumberg, Grau, Hannigan and Maloney bring you this 7th annual official tournament. Role-playing stressed.",Susan Grau,2,S,2,"E205, E. Game Hall Location: E211, E. Game Hall",11 Final: 14,,,,,,,,,,,,,,,,,,,,,,,
830,1990,ROLE-PLAYING GAME,HERO GAME by Iron Crown Enterprises,400396,And The Dead Shall Walk,The bodies of various religous leaders are turning up around town drained of all blood. You have a good idea as to what is going on but can you stop it before disaster befalls the city?,Tom Skucas,1,I,2,"K44, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
831,1990,ROLE-PLAYING GAME,"MARVEL SUPER HEROES Game by TSR, Inc.",400235,Survival Of The Fittest II,"Paradox vs Horizon force is the main event once again! New players have entered the deadly game! Will they fight, or join to beat their mutual foe?",Mark Mastej,2,S,2,"E406, E. Game Hall Final: 10",,,,,,,,,,,,,,,,,,,,,,,,
832,1990,ROLE-PLAYING GAME,NIGHTLIFE by Stellar Games,400327,Wormholes In The Big Apple,"The elders of the kin are missing. Kidnapped? Dead? Or still undead? Enter the Wormholes under the city to find out. Introducing Nightlife, the new game of urban horror from Stellar Games.",Stellar Games,1,N,FREE,"ED7, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
833,1990,ROLE-PLAYING GAME,PARANOIA Game by West End Games,400064,Scitzo-Paranoia,"Yes, and more! Included free of charge, buzzsaws, Ginsu Knives, fuzzydice, Photon Torpedoes on a yellow Yugo, Blue Meanies—and that’s not all... We’d love to tell you more but we have no r.",Jeff Banas,2,I,2,"E504, E. Game Hall Final: 11",,,,,,,,,,,,,,,,,,,,,,,,
834,1990,ROLE-PLAYING GAME,PARANOIA Game by West End Games,400079,The Battle of Stalin-G-Rad,"Your friend, the Computer, has need of your help, as if you had a choice. The infamous Commie traitor, Stalin-G-Rad, has formed a huge Army of Commies! Can you save Alpha-Complex?",Tom Spring,1,I,2,"E309, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
835,1990,ROLE-PLAYING GAME,PARANOIA Game by West End Games,400032,Heav-y-Mtl Daze,"There’s trouble in ORK sector. The computer needs you, troubleshooter, to stop this menace. Can you save Alpha complex from this commie plot? By the way, the Computer LIVES!",Walter Spafford,1,I,2,"E204, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
836,1990,ROLE-PLAYING GAME,STORMBRINGER Game by Chaosium,400133,Dinner of Champions,Choose your favorite Eternal Champion. Judge will provide stats for all of them. Prepare to defend the Multiverse from the coming of Azathoth! Be careful or YOU may be the MAIN COURSE!,Cliff Winnig,1,I,2,"E502, E. Game Hall",11,,,,,,,,,,,,,,,,,,,,,,,
837,1990,ROLE-PLAYING GAME,TALISLANTA by Bard Games,400435,The Fall Of The Seven Kingdoms,The Tirshata has returned! The Za have united! The Seven Kingdoms are under attack! Can you and your party defeat the Blue Witch & the beastmen horde? Find out in this 2 round tournament. Prizes.,Matthew Hoffman,2,I,2,"ED1, E. Game Hall Location: ED3, E. Game Hall Final: 11",,,,,,,,,,,,,,,,,,,,,,,,
838,1990,ROLE-PLAYING GAME,TEENAGERS-OUTER SPACE by R. Talsorian,400260,Let’s Party,Does the sight of sixty screeming teenagers converging on one maniac armed only with a Koosh ball turn you on? Colin Fisk goes for a new record of 50 players in a single game. Too Weird!,R Talsorian Games,1,N,FREE,"ED5, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
839,1990,ROLE-PLAYING GAME,TORG by West End Games,400398,Sword of Storms,"Information has been uncovered about the location of the Sword of Culculham, an eternity shard. You must enter the Livingland to retrieve it.",Daniel Beyer,1,N,2,"E104, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
840,1990,ROLE-PLAYING GAME,WARHAMMER RULES by Games Workshop,400081,Haunting of Castle Brudenberg,"It seemed an easy job, go with your employer’s servants to prepare for his arrival at the ancient Castle of his line. Now with only 3 days left and 5 dead servants, a half empty village is not easy.",Charles Marsh,1,I,2,"E707, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
841,1990,RPGA NETWORK SANCTIONED EVENT,2300 AD by Game Designer's Workshop,450026,2300 AD,"“Now Is The Time” by Lester A. Smith. It is * midwinter in Australia, and you have lost all contact with a desert laboratory. Your team must check out the situation. OPEN TO ALL. Standard XP.",RPGA Network HQ,1,I,2,"BG-O, Bruce Hall",10,,,,,,,,,,,,,,,,,,,,,,,
842,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450003,AD&D Game Feature,"“Time Heals” by Gregg Swedberg and Al Boyce. To save the life of their drow friend, 6 adventurers must race against time—and through it. Standard XP.",RPGA Network HQ,3,I,3,"BG-C, Bruce Hall Semi Final: 09,10 Final: 12",,,,,,,,,,,,,,,,,,,,,,,,
843,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450000,AD&D Game Open,"“No King Without A Crown” by Tom Prusa. To save a nation, a daring band of heroes must make certain a royal wedding is held in the Forgotten Realms. OPEN TO ALL. Members receive Standard XP.",Bob Blake / RPGA Network,3,I,3,"ADD, Atrium NW","08, 09 Semi Final: 10,11 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
844,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450008,AD&D Game International,“The Deep Blue Seize” by Jean Rabe. Gamers from around the world compete in this 2-round event. Gamers from outside the U.S. can play by filling out the ’International Game Form.’ Std. XP,RPGA Network HQ,2,S,FREE,"BG-E, Bruce Hall Final: 12",,,,,,,,,,,,,,,,,,,,,,,,
845,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450007,AD&D Game Network Clubs,“Fright At Tristor” by Keith Polster. Is your Network Club daring enough to enter this challenging team event? The winner gets a trophy and never-ending glory. NETWORK CLUBS ONLY.,RPGA Network HQ,2,S,12,"BG-F, Bruce Hall Final: 11",,,,,,,,,,,,,,,,,,,,,,,,
846,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450009,AD&D Game Oriental Masters,“Sea Of Fire” by Robert Farnsworth. The Orient holds wondrous & magical surprises. But a band of adventurers learns there is terror there as well. MEMBERS ONLY—3rd LEVEL & UP. Triple XP.,RPGA Network HQ,2,S,2,"BG-G, Bruce Hall Final: 10",,,,,,,,,,,,,,,,,,,,,,,,
847,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450011,AD&D Game Benefit for Okada,“The Jade Monkey” by Carl Buehler and Michael Weaver. You must face a mounting magical mystery and an irrascible enchanted pig or all is lost. Proceeds to the Okada Hearing Dog Program.,RPGA Network HQ,1,I,5,"BG-D, Bruce Hall","08, 10, 11,13",,,,,,,,,,,,,,,,,,,,,,,
848,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450013,AD&D Game Living City,"“Nightwatch” by Walter Baas & Kira Glass. When the fog rolls in, so does danger. And the city’s nightwatch must handle it. MEMBERS ONLY. Players must use their own characters. Std. XP.",RPGA Network HQ,1,I,2,"BG-B, Bruce Hall","10, 12, 13",,,,,,,,,,,,,,,,,,,,,,,
849,1990,RPGA NETWORK SANCTIONED EVENT,DC HEROES by Mayfair Games,450033,DC HEROES,"“The Diogenes Conspiracy” by John Terra. As a member of the Doom Patrol, you must assemble all your courage and wits to face a menace to freedom and life! Standard XP.",RPGA Network HQ,2,I,2,"BG-K, Bruce Hall Final: 10",,,,,,,,,,,,,,,,,,,,,,,,
850,1990,RPGA NETWORK SANCTIONED EVENT,JAMES BOND 007 Game by Victory,450030,JAMES BOND (Fluffy Bond),"“Bond, Fluffy Bond” by Don Bingle and Rich Bingle. As a member of a crack team of spies, you are sent on a hair-raising, hilarious hunt for a purloined pooch. 4-member teams. OPEN TO ALL. Standard XP.",RPGA Network HQ,1,I,2,"BG-L, Bruce Hall",,,,,,,,,,,,,,,,,,,,,,,,
851,1990,RPGA NETWORK SANCTIONED EVENT,"TOP SECRET/S.I. Game by TSR, Inc.",450017,TOP SECRET/SI Game Feature,"“Operation Long Bullet” by Roger Anderson. Orion agents are sent on a dangerous covert mission. If successful, they’ll be rewarded. If not, they’re dead. Std. XP.",RPGA Network HQ,2,I,2,"BG-M, Bruce Hall Final: 09",,,,,,,,,,,,,,,,,,,,,,,,
852,1990,STRATEGIC B0ARDGAME,BATTLE FOR MOSCOW by GDW,200073,BATTLE FOR MOSCOW Tournament,Conducted by Lester Smith. 16 players Advanced Registration Required.,Games Designers’ Workshop Inc,3,S,2,"W403, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
853,1990,STRATEGIC B0ARDGAME,BATTLETECH by FASA,200000,When Lightning Strikes,"Elements of the elite 5th Sword of Light attempt a lightning raid on the world of Formalhaut. Mission to find and destroy a hidden Davion facility. Two teams of four compete. Miniatures, very visual!",Rae Mclntosh,1,S,2,"W124, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
854,1990,STRATEGIC B0ARDGAME,CAR WARS Game by Steve Jackson Games,200051,"Dueltech, Future Of Autodueling",Here’s your chance to look 50 years ahead into the sport of Autoduelling! Test duel the latest experimental prototypes. Do things you only dreamed of before! Played in a 3-D arena.,Ryan Kimmet,1,S,2,"W117A, W. Game Hall",8,,,,,,,,,,,,,,,,,,,,,,,
855,1990,STRATEGIC B0ARDGAME,DEMONSTRATION,200067,Introduction To Car Wars,"The award-winning game of the freeways of the future, where the right of way goes to the biggest guns. A grid system allows realistic movement, with options that feature role playing.",Steve Jackson Games,Demo,N,FREE,"W302, W. Game Hall","10B, C11A,13B, C14A",,,,,,,,,,,,,,,,,,,,,,,
856,1990,STRATEGIC B0ARDGAME,EURORAILS by Mayfair Games,200061,Eurorails,"Link major European cities with your rail empire as you move commerce throughout the length and breadth of new united Europe. This European counterpart to Empire Builder, is powerful!",Prizes Darwin Bromley,1,N,2,"W109, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
857,1990,STRATEGIC B0ARDGAME,GERMAN EAGLE VS. RUSSIAN BEAR by Coatech,200066,German Eagle vs Russian Bear,"World War ll-Barbarossa. Army-to-front level. 5 hexes from Moscow to Warsaw. Fast clean game system—no zones of control. Includes Armor refit, fortification, factory evac., aggressive defenses.",Louis Coatney,3,N,2,"W105, W. Game Hall Semi Final: 08A Final: 08B",,,,,,,,,,,,,,,,,,,,,,,,
858,1990,STRATEGIC B0ARDGAME,RAIL BARON by Avalon Hill,200019,Rail Baron,Bring your copy of Rail Baron and match wits with other Rail Tycoons as you build a cross-country Rail Empire. Winners will take home a souvenir Railroad Mug as a Trophy of their victory!,Mike Carr,1,I,2,"W314, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
859,1990,STRATEGIC B0ARDGAME,SPEED CIRCUIT by Sports Illustrated,200063,Advanced Speed Circuit,"Experience the thrill of formula I auto racing, the King of motorsports. This tournament will use Avalon Hills speed circuit plus the formula fury rules. Extensions on large-scale tracks.",Richard White,1,I,2,"W417, W. Game Hall",10,,,,,,,,,,,,,,,,,,,,,,,
860,1990,STRATEGIC B0ARDGAME,STAR FLEET BATTLES Game by Task Force,200039,Looking For Trouble,"The Lyrans, eager to test their new PF’s, come looking for Hydrans to practice on. Fortunately, they find them.",Jason Thomas,1,S,2,"W415A, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
861,1990,STRATEGIC B0ARDGAME,TITAN by Avalon Hill ,200021,Titans,Muster creatures to survive. Attack to win in this fantasy monster battle royale.,Thomas Tiffany,1,I,2,"W304, W. Game Hall",C08,,,,,,,,,,,,,,,,,,,,,,,
862,1990,COMPUTER GAMING,BREACH by Omnitread,600009,Breach 2,"It’s Starship trooper time, as you lead your squad of power armored space marines into combat in the far future.",Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2","07B, 14B",,,,,,,,,,,,,,,,,,,,,,,
863,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600024,Computer Showcase,Try the latest and greatest in Amiga and C64 computer games from our extensive library. Runs every hour on the hour. One hour playing time only! On-site ticket sales only.,Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2","07B, 08A, 08B, 09A",,,,,,,,,,,,,,,,,,,,,,,
864,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600023,Open Gaming with Atari,Experience the latest and greatest software titles on Atari ST Computers. A ticket will allow you one hour of playing time with your choice of our software titles. Enjoy.,MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","07B, 08A, 08B",,,,,,,,,,,,,,,,,,,,,,,
865,1990,COMPUTER GAMING,MIDI MAZE Computer Game,600015,Midi Maze Tournament,"Back for ’90, the most popular computer game of GEN CON Game Fair! 16 players link together on terminals to play the most exciting maze game ever made! One hour time limit per ticket.",MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","07B, 08A, 09A, 09B, 10A, 10B",,,,,,,,,,,,,,,,,,,,,,,
866,1990,COMPUTER GAMING,SEMINAR,600020,Meet Origin,"Meet the folks from Origin, creators of Ultima computer games. Join us for a look at what goes on behind the scenes at a computer game company. Plus inside information about upcoming titles.",Origin,Sem,N,FREE,"STAGE, Great Hall West",,,,,,,,,,,,,,,,,,,,,,,,
867,1990,FAMILY/COMMERICAL GAMING,CARGO by V & L Games,100016,CARGO On The Great Lakes,Travel the Great Lakes as a Captain of your own cargo ship. Carefully weigh the race for financial success against the dangers inherent in seamanship.,Richard Brown,1,N,2,"E23, Atrium East",,,,,,,,,,,,,,,,,,,,,,,,
868,1990,FAMILY/COMMERICAL GAMING,DEMONSTRATION,100006,DUNGEON! Game Demonstration,"Explore strange catacombs! Battle fantastic creatures! Amass treasure beyond imagination! The deeper into the dungeon you go, the richer the prize, and the deadlier the danger...","TSR, Inc.",Demo,N,FREE,"TSRDEM02, Great Hall","09A, 09B, 13B, 14A, 14B",,,,,,,,,,,,,,,,,,,,,,,
869,1990,FAMILY/COMMERICAL GAMING,The GREAT KHAN Game Demo,100013,The GREAT KHAN Game Demo,"Join the political intrigue and power struggles in a far corner of the Forgotten Realms! The GREAT KHAN game is a humorous card game which allows you to fight, connive and coerce your way to power.","TSR, Inc.",Demo,N,FREE,"TSRDEM03, Great Hall",13B,,,,,,,,,,,,,,,,,,,,,,,
870,1990,OTHER,SEMINAR,900053,FORGOTTEN REALMS Novels,"Come explore the Realms with our guides, best selling authors of the FORGOTTEN REALMS line of books.","TSR, Inc.",Sem,N,FREE,"S2, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
871,1990,OTHER,SEMINAR,900047,Freelance Game Design,"TSR’s Karen Boomgarden, William Connors, Bruce Heard and Jon Pickens discuss the hows, whys, dos, and don’ts of freelance game design.","TSR, Inc.",Sem,N,FREE,"S5, Atrium SW",,,,,,,,,,,,,,,,,,,,,,,,
872,1990,ROLE-PLAYING GAME,"RAVENLOFT Game by TSR, Inc.",400304,RAVENLOFT: A Feast of Goblyns,"Characters enter the terrifying realm of the new AD&D game setting, Ravenloft. Here you will encounter the thrill of terror.","TSR, Inc.",Demo,I,FREE,"TSRDEM01, Great Hall",,,,,,,,,,,,,,,,,,,,,,,,
873,1990,ROLE-PLAYING GAME,SEMINAR,400430,Gaming and Education,What do we learn when we game? What do we teach when we game? We will examine models for gaming in classrooms. Come and contribute!,David Millians,Sem,N,FREE,"S6,",,,,,,,,,,,,,,,,,,,,,,,,
874,1990,ROLE-PLAYING GAME,SEMINAR,400095,Superjudge,"It’s easy to gamemaster for your friends. But when you judge at GEN CON Game Fair, you have to keep the paying customers happy for hours. Find out how. Don’t be a judge—be a superjudge!",Jordan Orzoff,Sem,N,2,"S4, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
875,1990,ROLE-PLAYING GAME,SEMINAR,400368,Wearing TONIGHT's Illusions,"A discussion of planning a night’s adventure before your players arrive. Preparing the drama, the mystery, the climax, denouement and the PC’s rewards to create a fulfilling evening adventure.",John Wheeler & Peter Rice,Sem,I,4,"S3, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
876,1990,ROLE-PLAYING GAME,TWILIGHT 2000 Game by G.D.W.,400379,Twilight 2000: 2nd Edition,"Conducted by Frank Chadwick (designer) and Loren Wiseman (developer). Frank and Loren discuss the upcoming 2nd edition of Twilight 2000, including its new format and content.",Games Designers’ Workshop Inc,Sem,N,FREE,"S1, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
877,1990,COMPUTER GAMING,BREACH by Omnitread,600009,Breach 2,"It’s Starship trooper time, as you lead your squad of power armored space marines into combat in the far future.",Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2",14B,,,,,,,,,,,,,,,,,,,,,,,
878,1990,COMPUTER GAMING,CHAMPIONS OF KRYNN by SSI,600008,Champions Of Krynn,You and your companion are off to adventure in the first of SSI’s AD&D computer games set in the DRAGONLANCE world.,Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2",08A,,,,,,,,,,,,,,,,,,,,,,,
879,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600024,Computer Showcase,Try the latest and greatest in Amiga and C64 computer games from our extensive library. Runs every hour on the hour. One hour playing time only! On-site ticket sales only.,Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2","08A, 08B, 09A",,,,,,,,,,,,,,,,,,,,,,,
880,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600023,Open Gaming with Atari,Experience the latest and greatest software titles on Atari ST Computers. A ticket will allow you one hour of playing time with your choice of our software titles. Enjoy.,MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","08A, 08B",,,,,,,,,,,,,,,,,,,,,,,
881,1990,COMPUTER GAMING,MIDI MAZE Computer Game,600015,Midi Maze Tournament,"Back for ’90, the most popular computer game of GEN CON Game Fair! 16 players link together on terminals to play the most exciting maze game ever made! One hour time limit per ticket.",MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","08A, 09A, 09B, 10A, 10B",,,,,,,,,,,,,,,,,,,,,,,
882,1990,FAMILY/COMMERICAL GAMING,MONOPOLY by Parker Brothers,100014,Official MONOPOLY Tournament,Come play in an official MONOPOLY tournament. Think you’re good with money and financial plans or do you just want to try your hand at an old family favorite? Join in! Fun for everyone!,Christian Link,2,I,2,"AZ, Atrium East","09B, 11B, 13B, 14A",,,,,,,,,,,,,,,,,,,,,,,
883,1990,FAMILY/COMMERICAL GAMING,COMMAND DECISION by GDW,300117,The Battle of Mtsensk: 1941,At the Gates of Moscow. A Command Decision scenario. Conducted by Frank Chadwick & Greg Novak Advanced Registration Required.,Games Designers’ Workshop Inc,1,S,2,"W307, W. Game Hall",C08A,,,,,,,,,,,,,,,,,,,,,,,
884,1990,FAMILY/COMMERICAL GAMING,HOME RULES,300084,England Invades India In 1640,A hypothetical look at two very different yet competent armies which never fought each other in the mid 1600’s. Will the moghuls repeat last years win or will Pike prevail? English Civil War Rules.,Earl Kyle,1,I,2,"W419, W. Game Hall",C08A,,,,,,,,,,,,,,,,,,,,,,,
885,1990,FAMILY/COMMERICAL GAMING,INNER CITY Role-Playing Game Rules,300104,Puppy Pounders,Cute fuzzy things can have homicidal tendencies. It’s plush mayhem as these stuffed animals battle it out in gladiatorial style combat on a multiple terrain board.,Christopher Clark,1,I,2,"W209, W. Game Hall","C08A,10B, C11A",,,,,,,,,,,,,,,,,,,,,,,
886,1990,OTHER,Fun For All at GEN CON Game Fair,900049,Weis & Hickman Traveling Show,"Music, dramatic readings, questions and answers and surprises!",Weis & Hickman Rebel Alliance,Sem,N,FREE,"STAGE, Great Hall West",,,,,,,,,,,,,,,,,,,,,,,,
